initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits,highest_split_distance_10x,highest_split_distance_rounded,split
p01_22_NORMALIZED,100,50,69.29646456,11.04536102,39.38721969,41.3146583,29.39445173,49.89455526,14.65902198,50,12,30.38,31,20.25,41,10.72732958,1652.23,1589.06,1589.06,yes,yes,7,7,50,50,0
p01_23_NORMALIZED,100,50,62.22539674,2,40.74452577,43.48912589,34.20729059,48.40161379,13.30051202,48,12,28.42,28,22.25,33,9.378891192,1567.65,1530.92,1530.92,yes,yes,3,3,47.01063709,47.01063709,0
p01_24_NORMALIZED,100,50,67.94115101,5,36.82654919,38.29587232,27.92764401,48.61128954,15.81914267,50,14,33.92,35,28.25,43,10.34183736,1706.64,1672.87,1672.87,yes,yes,8,8,59.46427499,59.46427499,0
p01_25_NORMALIZED,100,50,67.2086304,6.708203932,42.28510866,45.10556829,32.34548972,55.10090345,15.94269694,49,13,31.9,33,23,41,10.67941946,1785.02,1772.8,1772.8,yes,yes,6,6,56.30275304,56.30275304,0
p01_26_NORMALIZED,100,50,59.81638571,2.236067977,38.13029089,41.64731803,26.10073338,49.84380572,14.66631912,50,12,29.56,29,20,38.75,11.72545948,1569.68,1539.3,1539.3,yes,yes,5,5,41.67733197,41.67733197,0
p01_27_NORMALIZED,100,50,66.48308055,7.211102551,36.27319678,37.99739202,26.36234133,46.38901531,14.69133061,50,13,30.04,28.5,20,41.25,11.35950703,1541.07,1516.24,1516.24,yes,yes,4,4,33.30165161,33.30165161,0
p01_28_NORMALIZED,100,50,67.94115101,1.414213562,40.66353765,41.10960958,33.58418689,50.20743966,15.03185636,50,13,30.16,30,20,39.75,11.07133235,1599.65,1591,1591,yes,yes,4,4,41.78516483,41.78516483,0
p01_29_NORMALIZED,100,50,65.19202405,7.211102551,37.65530436,38.70429341,28.19567761,47.79608206,15.0538385,48,12,31.54,30.5,23.25,40,10.381156,1604.95,1575.05,1575.05,yes,yes,6,6,46.87216658,46.87216658,0
p01_2_NORMALIZED,100,50,62.93647591,5,36.44389894,38.15815265,24.23834019,47.29670671,14.38548677,50,12,29.66,28,22,39.5,10.70814643,1442.24,1423.98,1423.98,yes,yes,2,2,49.979996,49.979996,0
p01_3070_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,66,31,50.12,50.5,41,60.75,10.87315961,1653.6,1505.94,1505.94,yes,yes,16,16,32.55764119,32.55764119,0
p01_30_NORMALIZED,100,50,67.2086304,2,38.40583664,43.62203295,27.75197135,49.95491871,16.43933429,48,12,29.96,29.5,19,39.75,10.94524554,1585.02,1562.01,1562.01,yes,yes,5,5,39.44616585,39.44616585,0
p01_3_NORMALIZED,100,50,63.65532185,5.099019514,34.92873458,37.69215087,23.31298996,47.08400991,15.19945724,50,14,32.8,34,22.25,41,10.68831137,1528,1512.04,1512.04,yes,yes,7,7,19.20937271,19.20937271,0
p01_4_NORMALIZED,100,50,70.00714249,5.385164807,38.17250404,39.31540757,26.67953233,47.66544565,14.81822983,49,12,32.06,32,23.25,43,10.67222563,1644.63,1597.97,1597.97,yes,yes,4,4,55.6057551,55.6057551,0
p01_5_NORMALIZED,100,50,66.46803743,7.071067812,40.05197927,44.54049583,28.609435,51.31242918,14.78644504,48,12,32.22,32.5,23,40,10.45426229,1725.15,1697.79,1697.79,yes,yes,6,6,39.62322551,39.62322551,0
p01_6_NORMALIZED,100,50,65.06919394,5,40.09672931,42.91227143,30.19847384,52.45946657,15.91390268,50,13,30.32,29,20,41,11.6128205,1662.19,1607.99,1607.99,yes,yes,5,5,47.50789408,47.50789408,0
p01_7090_tsplib0_NORMALIZED,100,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,88,70,79.62,80,75,85,5.476823897,2402.34,2210.9,2210.9,yes,yes,28,28,39.40812099,39.40812099,0
p01_7_NORMALIZED,100,50,63.89053138,2.236067977,36.99651189,40.07318166,22.54438988,50.2016073,16.55409641,49,13,30.2,30,21.25,38,10.6282642,1602.6,1566.14,1566.14,yes,yes,8,8,51.4781507,51.4781507,0
p01_8_NORMALIZED,100,50,65.94694838,5.385164807,37.19070064,38.76828437,27.22807827,48.66894092,14.7956678,50,12,33.1,36,22.25,41.75,11.50869237,1672.69,1644.21,1644.21,yes,yes,4,4,44.40720662,44.40720662,0
p01_9_NORMALIZED,100,50,67.88225099,6.32455532,41.871127,43.19934576,32.21772839,52.90688335,14.59961382,50,13,31.08,31,23.25,36,10.13082425,1705.12,1648.71,1648.71,yes,yes,5,5,50.21951812,50.21951812,0
p02_00_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,26,0,12.54666667,12,8,17,5.676368166,828.05,828.44,828.44,yes,yes,8,8,18.43908891,18.43908891,0
p02_1030_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,29,10,20.05333333,20,15,25.5,5.698873183,1128.89,1118.87,1118.87,yes,yes,6,6,33.10589071,33.10589071,0
p02_1050_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,49,10,30.89333333,32,21.5,42,11.48166461,1534.49,1515.08,1515.08,yes,yes,9,9,33.10589071,33.10589071,0
p02_1090_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,89,12,52.68,54,33.5,74.5,22.80067835,2488.45,2307.99,2307.99,yes,yes,30,30,41.23105626,41.23105626,0
p02_10_NORMALIZED,100,75,67.17886572,5.656854249,40.47769318,42.72001873,31.98398914,48.02603207,12.94332601,49,12,32.4,35,24.5,40,10.23848947,2541.05,2490.26,2490.26,yes,yes,12,12,51.623638,51.623638,0
p02_110_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,9,0,4.973333333,5,2.5,7,2.663197744,601.65,592.33,592.33,no,no,0,0,0,0,1
p02_11_NORMALIZED,100,75,67.88225099,11.04536102,38.07176084,41.23105626,28.76921036,47.78063467,12.93036581,48,12,28.76,29,18,38,11.33471364,2124.5,2096.31,2096.31,yes,yes,6,6,46.01086828,46.01086828,0
p02_12_NORMALIZED,100,75,67.17886572,0,38.91426904,40.79215611,27.75681649,49.09610133,14.10152469,49,12,30.36,30,22,37.5,9.71135418,2315.74,2279.86,2279.86,yes,yes,6,6,39.39543121,39.39543121,0
p02_13_NORMALIZED,100,75,61.61980201,1,36.34703207,36.138622,26.51390574,47.57385123,13.23127331,50,12,29.62666667,27,20,38.5,11.34874247,2152.2,2119.42,2119.42,yes,yes,9,9,44.55333882,44.55333882,0
p02_14_NORMALIZED,100,75,65.11528238,5.830951895,38.39134666,36.68787266,28.74711226,48.05723471,12.53998279,50,12,30.26666667,31,20,41.5,11.36935452,2261.27,2218.59,2218.59,yes,yes,15,15,61.7170965,61.7170965,0
p02_15_NORMALIZED,100,75,67.26812024,4.242640687,37.79472879,38.89730068,26.24824962,49.52759611,14.82785022,50,12,31.44,32,20,42,12.24008715,2324.14,2277.91,2277.91,yes,yes,11,11,58.89821729,58.89821729,0
p02_16_NORMALIZED,100,75,70.00714249,8.602325267,40.14259517,40.49691346,31.39024858,50.80161257,14.19901592,49,12,28.22666667,26,21.5,35,9.836765503,2250.89,2218.13,2218.13,yes,yes,7,7,48.08326112,48.08326112,0
p02_17_NORMALIZED,100,75,62.80127387,8.94427191,36.17087118,37.44329045,28.11579669,45.84731932,12.35157527,50,12,32.50666667,34,25,42,10.23637088,2283.98,2200.43,2200.43,yes,yes,12,12,39.05124838,39.05124838,0
p02_18_NORMALIZED,100,75,69.3108938,3,37.43810244,40.71854614,25.28748499,50.20941864,15.99172137,48,12,30.30666667,31,20,39,10.59682133,2264.92,2234.25,2234.25,yes,yes,13,13,51.31276644,51.31276644,0
p02_19_NORMALIZED,100,75,69.29646456,5,41.01338323,43.10452412,31.99149077,49.92530636,13.39585991,50,12,27.38666667,25,16,35,11.56534286,2172.14,2164.51,2164.51,yes,yes,6,6,56.72741841,56.72741841,0
p02_1_NORMALIZED,100,75,67.2086304,2.236067977,39.3422132,41.67733197,28.25493706,49.86966023,13.56823229,50,12,32.25333333,33,22,42,11.23220766,2377.7,2326.28,2326.28,yes,yes,9,9,44.01136217,44.01136217,0
p02_20_NORMALIZED,100,75,64.5368112,2.236067977,37.66540767,40,28.8347915,46.61544808,14.79269184,50,12,28.04,26,20,37.5,11.10368107,2136.85,2098.2,2098.2,yes,yes,13,13,46.09772229,46.09772229,0
p02_21_NORMALIZED,100,75,66.48308055,3.605551275,38.50103602,41.03656906,27.36630306,49.58032784,15.0014519,50,12,32.77333333,34,23,42,11.1625246,2498.16,2444.82,2444.82,yes,yes,12,12,49.04079934,49.04079934,0
p02_22_NORMALIZED,100,75,63.12685641,1.414213562,38.19722936,41.10960958,29.06021978,49.33105012,14.30798155,50,12,30.36,27,20,41,11.51305346,2289.82,2263.99,2263.99,yes,yes,9,9,45.48626166,45.48626166,0
p02_23_NORMALIZED,100,75,67.89698079,1,39.40960377,43,30.08078862,49.61349369,14.64797361,48,12,31,32,23,39.5,10.03194896,2393.32,2368.55,2368.55,yes,yes,6,6,40.49691346,40.49691346,0
p02_24_NORMALIZED,100,75,70.00714249,1.414213562,38.93573653,40.01249805,31.32085443,48.0780545,15.38034743,50,12,29.4,27,20.5,38,11.04053139,2321.96,2282.5,2282.5,yes,yes,11,11,51.66236541,51.66236541,0
p02_25_NORMALIZED,100,75,64.5368112,9.486832981,39.45190783,41.88078318,27.02771113,49.78777052,14.53915295,49,12,27.45333333,27,17.5,35.5,10.89133397,2167.84,2146.96,2146.96,yes,yes,6,6,57.28001397,57.28001397,0
p02_26_NORMALIZED,100,75,65.11528238,2.236067977,38.0097545,39.66106403,27.90143877,48.9282461,12.8231001,50,12,30.66666667,30,20,40,11.64168754,2242.81,2204.44,2204.44,yes,yes,8,8,41.59326869,41.59326869,0
p02_27_NORMALIZED,100,75,67.89698079,6.32455532,39.36510455,40.19950248,29.9123475,49.49747056,13.43485058,50,12,29.29333333,27,18,41,11.92506976,2282.31,2211.69,2211.69,yes,yes,13,13,46.04345773,46.04345773,0
p02_28_NORMALIZED,100,75,64.44377394,5,37.88624528,39.20459157,27.14593808,48.882345,14.73111509,50,12,30.58666667,29,20,42,11.9366029,2164.03,2132.87,2132.87,yes,yes,7,7,34.71310992,34.71310992,0
p02_29_NORMALIZED,100,75,68.62215386,4.123105626,39.24947546,41.86884283,26.92582404,49.12658814,14.56246349,50,12,29.82666667,29,19.5,40,11.90223882,2276.42,2175.43,2175.43,yes,yes,14,14,51.73973328,51.73973328,0
p02_2_NORMALIZED,100,75,65.7951366,6.708203932,39.74596313,41.76122604,29.18388981,50.11724207,14.63438013,49,12,30.46666667,30,19.5,41.5,11.70792704,2399.36,2334.34,2334.34,yes,yes,5,5,48.3011387,48.3011387,0
p02_3070_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,69,30,50.89333333,52,41.5,62,11.48166461,2491.98,2257.3,2257.3,yes,yes,24,24,33.24154028,33.24154028,0
p02_30_NORMALIZED,100,75,68.59300256,8.246211251,37.98344077,39.92492956,28.3979489,46.93606757,13.1956392,50,12,31.84,32,20.5,42,12.02113694,2403.71,2355.2,2355.2,yes,yes,15,15,46.86149806,46.86149806,0
p02_3_NORMALIZED,100,75,63.78087488,7.810249676,37.5764491,38.07886553,26.50131683,47.23307838,15.33874636,49,13,31.77333333,31,24,41.5,10.40842394,2322.06,2266.5,2266.5,yes,yes,10,10,54.20332093,54.20332093,0
p02_4_NORMALIZED,100,75,65.76473219,11.40175425,40.2809299,40.16217126,30.12454748,51.18057916,13.96209224,50,12,29.81333333,31,19,38,11.5246904,2354.77,2285.78,2285.78,yes,yes,13,13,48.16637832,48.16637832,0
p02_5_NORMALIZED,100,75,69.3108938,4.242640687,37.85671179,40.44749683,25.77351539,49.96997497,16.81436011,50,12,31.53333333,34,22.5,41,11.02280464,2333.19,2294.33,2294.33,yes,yes,17,17,49.92995093,49.92995093,0
p02_6_NORMALIZED,100,75,65.19202405,9.899494937,40.41729362,41.86884283,32.89959073,49.32032257,12.37049083,50,12,31.30666667,32,22,40,10.65078818,2447.09,2384.13,2384.13,yes,yes,9,9,46.69047012,46.69047012,0
p02_7090_tsplib0_NORMALIZED,100,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,89,70,80.05333333,80,75,85.5,5.698873183,3630.85,3269.51,3269.51,yes,yes,54,54,33.24154028,33.24154028,0
p02_7_NORMALIZED,100,75,66.52818951,9.486832981,39.24320774,39.69886648,29.84939281,48.41487375,12.45300417,50,12,30.21333333,29,21,38.5,11.42079196,2325.93,2278.3,2278.3,yes,yes,10,10,51.66236541,51.66236541,0
p02_8_NORMALIZED,100,75,67.88225099,12.04159458,40.19326804,40.31128874,29.66490786,52.8108615,14.29013194,50,12,31.93333333,32,23,40,10.40170926,2493.94,2410.67,2410.67,yes,yes,12,12,60.10823571,60.10823571,0
p02_9_NORMALIZED,100,75,70.71067812,10.19803903,40.57970383,40.85339643,31.08047392,49.14770462,13.96785489,50,12,30.13333333,30,21.5,39,11.15028649,2368.75,2323.02,2323.02,yes,yes,9,9,60.10823571,60.10823571,0
p03_00_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,20,0,7.01,6,4,9.25,4.437330278,826.57,820.93,820.93,no,no,0,0,0,0,1
p03_1030_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,29,10,20.84,22,16,26,5.594139791,1483.1,1471.75,1471.75,yes,yes,13,13,33.54101966,33.54101966,0
p03_1050_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,49,11,32.23,35,22.75,42,11.19540531,2059.95,2046.58,2046.58,yes,yes,26,26,39.66106403,39.66106403,0
p03_1090_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,89,12,54.84,60,35.75,74,22.40880184,3459.11,3142.83,3142.83,yes,yes,41,41,34,34,0
p03_10_NORMALIZED,100,100,69.3108938,10.04987562,40.98375603,42.71355634,31.6227766,50.27663684,13.61329283,50,12,31.23,31,23,40,10.40370607,3205.56,3136.13,3136.13,yes,yes,17,17,60.95900262,60.95900262,0
p03_110_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,9,1,5.55,6,3,8,2.558808316,757.26,762.06,762.06,no,no,0,0,0,0,1
p03_11_NORMALIZED,100,100,66.48308055,10.77032961,41.03653377,43.84062043,32.46376964,50.30893914,13.07068843,50,13,34.25,37,25.75,42.25,10.0701291,3540.73,3440.03,3440.03,yes,yes,22,22,54.81788029,54.81788029,0
p03_12_NORMALIZED,100,100,66.48308055,2.236067977,40.27435773,40.40369175,30.08321791,50.38103319,14.49538234,49,12,30.6,30,22,41,11.00999546,3058.74,2995.95,2995.95,yes,yes,17,17,61.40032573,61.40032573,0
p03_13_NORMALIZED,100,100,62.36986452,6.08276253,36.03868906,39.55760722,24.16390535,46.79176443,15.6519293,49,12,30.88,31.5,23,40,10.22279805,2808.67,2780.2,2780.2,yes,yes,22,22,47.4341649,47.4341649,0
p03_14_NORMALIZED,100,100,70.00714249,6.32455532,39.49462078,40.91848334,29.56277405,50.29903183,15.4163851,50,12,29.65,29.5,18,40,11.74936168,2964.38,2932.48,2932.48,yes,yes,17,17,55.6057551,55.6057551,0
p03_15_NORMALIZED,100,100,66.60330322,3,36.69374464,38.70937271,27.63248974,46.49462125,14.028154,50,12,30.88,30,21,41.25,11.49632985,2893.07,2828.26,2828.26,yes,yes,22,22,56.40035461,56.40035461,0
p03_16_NORMALIZED,100,100,67.88225099,6.32455532,37.63541957,40.06866722,29.22143615,46.45264466,13.63177147,50,12,32.89,35.5,23,42.25,11.47597055,3118.91,3032.44,3032.44,yes,yes,22,22,55.31726674,55.31726674,0
p03_17_NORMALIZED,100,100,70.00714249,4.123105626,38.64110023,39.5916532,25.05990431,51.04889483,15.27630101,50,12,33.07,34,24,43,11.15818534,3184.83,3128.11,3128.11,yes,yes,19,19,52.63078947,52.63078947,0
p03_18_NORMALIZED,100,100,66.48308055,3.16227766,39.90975993,41.17625218,31.71317679,49.54278075,14.97968833,50,12,32.24,33,21.75,42.25,11.25443912,3187.87,3130.54,3130.54,yes,yes,25,25,60.8276253,60.8276253,0
p03_19_NORMALIZED,100,100,67.2086304,7.280109889,35.80556653,34.9416384,24.15048757,48.11963499,14.81962905,50,13,31.73,32,22.75,42,10.67506909,2972.11,2881.29,2881.29,yes,yes,19,19,48.16637832,48.16637832,0
p03_1_NORMALIZED,100,100,67.2086304,5,36.07034163,34.9983205,25.59778282,46.810329,14.58082489,47,12,29.67,29,22,37.25,9.8793269,2741.49,2706.16,2706.16,yes,yes,7,7,49.76946855,49.76946855,0
p03_20_NORMALIZED,100,100,64.66065264,3.16227766,37.62072451,39.16627877,27.95961058,48.78011164,14.4153074,50,12,32.13,33.5,23.75,42,11.39706541,3048.84,2986.51,2986.51,yes,yes,10,10,56.43580424,56.43580424,0
p03_21_NORMALIZED,100,100,65.19202405,8.062257748,39.89756065,43.39217098,31.19283638,50.32891813,12.64613199,50,12,28.89,26.5,19,38.5,11.66267122,2955.69,2923.66,2917.81,yes,yes,17,12,52.40229003,52.35456045,0
p03_22_NORMALIZED,100,100,69.3108938,5.099019514,38.97999005,40.58234259,29.52927993,49.25183284,14.58904986,50,12,30.67,29,21.75,40.25,10.95723962,2985.94,2912.9,2912.9,yes,yes,12,12,53.90732789,53.90732789,0
p03_23_NORMALIZED,100,100,70.71067812,10.04987562,39.30904685,39.78753554,29.78505601,49.43667673,14.54231191,50,12,31.57,31,23.75,42,11.26166506,3134.5,3075.56,3075.56,yes,yes,13,13,52.43090692,52.43090692,0
p03_24_NORMALIZED,100,100,69.3108938,5.830951895,38.33261767,41.4081573,25.98144628,50.24686812,15.24665283,50,12,31.15,31,22,40,11.0239512,2995.72,2930.88,2930.88,yes,yes,20,20,55.21775077,55.21775077,0
p03_25_NORMALIZED,100,100,68.62215386,4.472135955,39.77630464,42.88337149,32.14136135,48.56370607,13.96372404,48,12,30.18,30.5,21,40,10.45789654,3056.6,3006.66,3006.66,yes,yes,25,25,51.73973328,51.73973328,0
p03_26_NORMALIZED,100,100,69.3108938,8.602325267,39.65712245,41.05710878,28.66533789,50.43458236,14.12206215,50,13,29.14,29,19.75,38.25,10.72195878,2946.2,2908.73,2908.73,yes,yes,19,19,62.36986452,62.36986452,0
p03_27_NORMALIZED,100,100,67.2086304,6.32455532,39.62669387,41.46666095,30.04525452,50.50741356,15.48338247,50,12,30.38,30.5,23,38.25,10.51264001,3015.97,2932.97,2932.97,yes,yes,16,16,47.4341649,47.4341649,0
p03_28_NORMALIZED,100,100,63.41135545,4,39.80818962,40.37939279,30.45077248,49.36282904,13.26152478,50,12,31.72,31.5,23,42,11.22593426,3105.86,3055.28,3055.28,yes,yes,23,23,55.86591089,55.86591089,0
p03_29_NORMALIZED,100,100,67.17886572,4.123105626,39.16130296,40.80441153,28.75754446,51.49839999,14.07772533,50,12,32.23,32,23,42.25,11.05880192,3090.11,3071.22,3071.22,yes,yes,25,25,54.45181356,54.45181356,0
p03_2_NORMALIZED,100,100,67.26812024,5,39.18118949,41.46562303,28.19122574,50.33877844,14.99081019,50,12,31.36,32,23.75,39,10.27669207,3120.63,3041.24,3041.24,yes,yes,21,21,56.22277119,56.22277119,0
p03_3070_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,69,31,52.23,55,42.75,62,11.19540531,3456.04,3061.5,3061.5,yes,yes,36,36,41.03656906,41.03656906,0
p03_30_NORMALIZED,100,100,67.88225099,1.414213562,38.03689013,41.54994954,26.00479524,49.45945869,14.79712773,50,12,29.03,30,20,36.25,10.845695,2792,2760.15,2760.15,yes,yes,19,19,48.27007354,48.27007354,0
p03_3_NORMALIZED,100,100,66.52818951,6.708203932,37.58260979,38.92299243,27.01388413,49.04079934,14.56562533,50,12,33.28,33,25,44,11.29254621,3132.24,3089.98,3089.98,yes,yes,15,15,40.36087214,40.36087214,0
p03_4_NORMALIZED,100,100,68.59300256,3.16227766,38.57883129,40.31128874,28.5697243,49.6682193,14.73240566,49,12,30.57,30,21.75,40,10.73802123,3047.94,2987.04,2987.04,yes,yes,12,12,54.40588203,54.40588203,0
p03_5_NORMALIZED,100,100,66.60330322,6.403124237,39.86500446,40.15564437,30.75375566,50.72226136,14.34787161,49,12,32.55,33,23,43,11.07914708,3224.55,3147.12,3147.12,yes,yes,16,16,51.2249939,51.2249939,0
p03_6_NORMALIZED,100,100,62.20128616,6.32455532,37.94060654,38.56067756,29.06665308,48.8466187,13.51186054,50,12,30.77,30.5,23,39,10.07556946,2923.43,2875.41,2875.41,yes,yes,15,15,45.17742799,45.17742799,0
p03_7090_tsplib0_NORMALIZED,100,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,89,70,80.84,82,76,86,5.594139791,4989.42,4476.02,4476.02,yes,yes,85,85,39.66106403,39.66106403,0
p03_7_NORMALIZED,100,100,67.88225099,6.403124237,40.03891075,42.30222419,28.60239803,51.495137,14.82651765,50,12,31.77,32,22,42,11.51247584,3212.59,3098.88,3098.88,yes,yes,19,19,56.22277119,56.22277119,0
p03_8_NORMALIZED,100,100,65.94694838,2.828427125,38.23757563,38.32753579,29.91604298,47.0982833,13.62563062,50,13,29.21,28,19.75,41,10.85752734,2863.06,2750.66,2750.66,yes,yes,12,12,49.57822102,49.57822102,0
p03_9_NORMALIZED,100,100,67.2086304,3.16227766,38.42458518,40.60788101,27.75332433,48.90028405,14.74215906,50,12,29.69,28.5,21,39,10.83761505,2884.57,2871.51,2871.51,yes,yes,15,15,61.84658438,61.84658438,0
p04_00_tsplib0_NORMALIZED,100,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,20,0,7.16,7,4,9.75,4.297410073,1005.21,1005.44,1005.44,yes,yes,3,3,9.219544457,9.219544457,0
p04_1030_tsplib0_NORMALIZED,100,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,29,10,20.84666667,22,16.25,25,5.38855165,2061.75,2051.92,2051.92,yes,yes,15,15,25.49509757,25.49509757,0
